Lfd. Nummer	Band	Seite	Nummer	Echtheit	Listennummer	Ort	Datum	notBefore	notAfter	Papst	Aussteller	Empfänger	Kurzregest	JL	Abschnitt
74	Germ.Pont. 1	207	2		409	Ferentino	21 März (1175)	1175-03-21	1175-03-21	Alexander III.	Alexander III.	Mainzer Erzbischof Konrad (I. von Wittelsbach), Gesandter des apostolischen Stuhls		12447	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
75	Germ.Pont. 1	172	52		409	Ferentino	21 März (1175)	1175-03-21	1175-03-21	Alexander III.	Alexander III.	Mainzer Erzbischof Konrad (I. von Wittelsbach), Gesandter des apostolischen Stuhls		12447	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
76	Germ.Pont. 1	377	9		410	Ferentino	15 Mai (1175)	1175-05-15	1175-05-15	Alexander III.	Alexander III.	Propst Otto (I. von Neuburg) der Kirche der heiligen Maria (Maria Geburt) von Rottenbuch		12483	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
77	Germ.Pont. 1	37	118	*	*411	–	(1176 in.)	1176-01-01	1176-12-31	Alexander III.	Alexander III.	Bischof Gualterius von Albano, Gesandter des apostolischen Stuhls		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
78	Germ.Pont. 1	127	15		412	Anagni	02 Juni (1176)	1176-06-02	1176-06-02	Alexander III.	Alexander III.	Bischof Roman (II. von Leibnitz)von Gurk		12713a	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
79	Germ.Pont. 1	250	7	*	*413	–	[1176]	1176-01-01	1176-12-31	Alexander III.	Alexander III.	Mainzer Erzbischof Konrad (I. von Wittelsbach), Gesandter des apostolischen Stuhls		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
80	Germ.Pont. 1	366	10		414	–	(cr. 1176)	1176-01-01	1176-12-31	Alexander III.	Alexander III.	Abt Rupert (von Neuburg-Falkenstein) des Klosters Tegernsee		12755	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
81	Germ.Pont. 1	366	11		415	–	(cr. 1176)	1176-01-01	1176-12-31	Alexander III.	Alexander III.	Abt Rupert (von Neuburg-Falkenstein) des heiligen Quirin vom Tegernsee (Kloster), die Äbte A. des heiligen Benedikt		12756	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
82	Germ.Pont. 1	378	10	*	*416	–	(cr. 1176)	1176-01-01	1176-12-31	Alexander III.	Alexander III.	Äbte, Propst (Otto I. von Neuburg) der Rottenbucher Kirche		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
83	Germ.Pont. 1	405	1	*	*417	–	(1159-1177)	1159-01-01	1177-12-31	Alexander III.	Alexander III.	Bischof von Brixen (Hartmann von Brixen), Abt der heiligen Euphemia)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
84	Germ.Pont. 1	244	1		418	–	(1161-1177)	1161-01-01	1177-12-31	Alexander III.	Alexander III.	Propst Konrad Mönch des heiligen St. Pölten in Österreich etc.		13723a, 13958	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
85	Germ.Pont. 1	292	4		419	Foggia	01 Februar 1177	1177-02-01	1177-02-01	Alexander III.	Alexander III.	Abt Gregorio		12773	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
86	Germ.Pont. 1	240	2		420	Monte Gargano	04 Februar (1177)	1177-02-04	1177-02-04	Alexander III.	Alexander III.	Passauer Bischof Diepold (Graf von Berg)		12775	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
87	Germ.Pont. 1	173	53		420	Monte Gargano	04 Februar (1177)	1177-02-04	1177-02-04	Alexander III.	Alexander III.	Passauer Bischof Diepold (Graf von Berg)		12775	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
88	Germ.Pont. 1	238	2		420	Monte Gargano	04 Februar (1177)	1177-02-04	1177-02-04	Alexander III.	Alexander III.	Passauer Bischof Diepold (Graf von Berg)		12775	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
89	Germ.Pont. 1	135	2	*	*421	(Venezia)	(31 März 1177)	1177-03-31	1177-03-31	Alexander III.	Alexander III.	Markgraf der Steiermark, Ottokar III.		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
90	Germ.Pont. 1	264	2	*	*421	(Venezia)	(31 März 1177)	1177-03-31	1177-03-31	Alexander III.	Alexander III.	Markgraf der Steiermark, Ottokar III.		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
91	Germ.Pont. 1	135	3		422	Venezia	31 März 1177	1177-03-31	1177-03-31	Alexander III.	Alexander III.	Karthäuser Abt, Karthäuser Brüder, die sich im heiligen Johannisthal aufhalten		12794	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
92	Germ.Pont. 1	252	1		423	Venezia	01 April 1177	1177-04-01	1177-04-01	Alexander III.	Alexander III.	Abt und Mönchsbrüder		12795	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
93	Germ.Pont. 1	120	3		424	Venezia	06 April 1177	1177-04-06	1177-04-06	Alexander III.	Alexander III.	Abt Pilgrim etc.		12799	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
94	Germ.Pont. 1	107	4		425	Venezia	06 April 1177	1177-04-06	1177-04-06	Alexander III.	Alexander III.	Abt Heinrich (II.) Mönch des heiligen Erlösers, das in der Salzburger Pfarrei im Ort von Millstatt gelegen ist		12798	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
95	Germ.Pont. 1	87	1		426	Venezia	07 April 1177	1177-04-07	1177-04-07	Alexander III.	Alexander III.	Abt des Klosters St. Veit (vorher Elsenbach)		12800	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
96	Germ.Pont. 1	146	2		427	Ferrara	22 April 1177	1177-04-22	1177-04-22	Alexander III.	Alexander III.	Prior Konrad des Spitals zum Heiligen Kreuz in Brixen		12805	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
97	Germ.Pont. 1	150	2		´+428	Ferrara	22 April 1177	1177-04-22	1177-04-22	Alexander III.	Alexander III.	Dekan Regulus und Kanoniker der Kirche des heiligen Candidus in Innichen		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
98	Germ.Pont. 1	317	7		429	Ferrara	28 April 1177	1177-04-28	1177-04-28	Alexander III.	Alexander III.	Abt Isinricus, Mönch des Klosters Biburg		12815	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
99	Germ.Pont. 1	354	1		430	Ferrara	28 April 1177	1177-04-28	1177-04-28	Alexander III.	Alexander III	Abt Egelolph von Attel Mönch		12814	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
100	Germ.Pont. 1	127	17		431	Ferrara	08 Mai (1177)	1177-05-08	1177-05-08	Alexander III.	Alexander III.	Bischof Roman II. von (Leibnitz) Gurk		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
101	Germ.Pont. 1	148	2		432	Venezia	20 Mai 1177	1177-05-20	1177-05-20	Alexander III.	Alexander III.	Propst Konrad der heiligen Maria von Brixen etc.		12845	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
102	Germ.Pont. 1	38	125		433	–	(Juni-Mai? 1177)	1177-06-01	1177-05-31	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)		12874	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
103	Germ.Pont. 1	120	4		434	Venezia	04 Juni (1177)	1177-06-04	1177-06-04	Alexander III.	Alexander III.	Abt Peregrinus und die Brüder von St. Paul im Lavanttal		12862	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
104	Germ.Pont. 1	108	5	*	*435	Venezia	06 Juni (1177)	1177-06-06	1177-06-06	Alexander III.	Alexander III.	Einwohner von Millstatt		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
105	Germ.Pont. 1	367	12		436	Venezia	14 Juni 1177)	1177-06-14	1177-06-14	Alexander III.	Alexander III.	Abt Rupert (von Neuburg-Falkenstein) des heiligen Quirin vom Tegernsee (Kloster)		12869	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
106	Germ.Pont. 1	367	13		437	(Venezia)	(14 Juni 1177)	1177-06-14	1177-06-14	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)		12857	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
107	Germ.Pont. 1	38	124		437	(Venezia)	(14 Juni 1177)	1177-06-14	1177-06-14	Alexander III.	Alexander III.	Salzburger Erzbischof Adalbert (III. von Böhmen)		12857	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
108	Germ.Pont. 1	367	14	*	*438	(Venezia)	(14 Juni 1177)	1177-06-14	1177-06-14	Alexander III.	Alexander III.	Propst des heiligen Zeno		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
109	Germ.Pont. 1	67	6	*	*438	(Venezia)	(14 Juni 1177)	1177-06-14	1177-06-14	Alexander III.	Alexander III.	Propst des heiligen Zeno		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
110	Germ.Pont. 1	335	18		439	Venezia	14 Juli (1177)	1177-07-14	1177-07-14	Alexander III.	Alexander III.	Bischof Albert (I. von Harthausen) Freising		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
