Lfd. Nummer	Band	Seite	Nummer	Echtheit	Listennummer	Ort	Datum	notBefore	notAfter	Papst	Aussteller	Empfänger	Kurzregest	JL	Notiz
28	It.Pont. 1	143	39		475	Roma St. Peter	30 April 1178	1178-04-30	1178-04-30	Alexander III.	Alexander III.	Kardinalpriester Johannes des heiligen Johannes und Paulus, und Erzpriester des Petersdoms (Giovanni Conti) und die übrigen Kanoniker etc.		13060	
29	It.Pont. 1	193	11	*	*476	–	[1178]	1178-01-01	1178-12-31	Alexander III.	Alexander III.	kein direkter Empfänger	Vermittlung zwischen Alexander III., Leo Frangipani und der Ehefrau Eudokia von Otto Frangipani	–	
30	It.Pont. 1	195	1		478	–	[1178]	1178-01-01	1178-12-31	Alexander III.	Alexander III.	Erzbischof Christian (I. von Buch) von Mainz		13104	
31	It.Pont. 1	181	16		479	–	[1178]	1178-01-01	1178-12-31	Alexander III.	Alexander III.	Erzbischof Christian (I. Von Buch) von Mainz		13093	
32	It.Pont. 1	196	3		480	Laterano	18 Mai  [1178-1179]	1178-05-18	1179-05-18	Alexander III.	Alexander III.	Corradus, Gregorius und Petrus, Söhne des Malabranca (Gens Malabranca)		–	
33	It.Pont. 1	196	4		481	Laterano	08 Juni [1178-1179]	1178-06-08	1179-06-08	Alexander III.	Alexander III.	Corradus, Gregorius und Petrus, Söhne des Malabranca (Gens Malabranca)		13268	
34	It.Pont. 1	143	40		482	Laterano	27 Mai [1166-1179]	1166-05-27	1179-05-27	Alexander III.	Alexander III.	Erzpriester und Kanoniker von St. Peter im Vatikan (Petersdom)		–	
35	It.Pont. 1	85	1		*483	–	29 April 1179	1179-04-29	1179-04-29	Alexander III.	Alexander III.	kein direkter Empfänger	Altarweihe und Nachlassgewährung	II p. 346	
36	It.Pont. 1	29	24		488	Segni	10.80.1179	1179-01-10	1179-12-10	Alexander III.	Alexander III.	Prior Johannes etc.		13461	
37	It.Pont. 1	188	10		*489	–	11 Oktober 1179	1179-10-11	1179-10-11	Alexander III.	Alexander III.	kein direkter Empfänger	Tausch einer Burg mit dem adeligen Raino (Graf) von Tusculum	13474	
38	It.Pont. 1	85	2	*	*490	–	[1179-1181]	1179-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof Theodinus (II. von Arrone) von Porto und Kardinalpriester Mattheus von Angers (Frankreich) St. Marcellus		–	
39	It.Pont. 1	175	12	*	*490	–	[1179-1181]	1179-01-01	1181-12-31	Alexander III.	Alexander III.	Bischof Theodinus (II. von Arrone) von Porto und Kardinalspriester Matthaeus von Angers (Frankreich) St. Marcellus		–	
40	It.Pont. 1	190	2	*	*492	–	[1177-1181]	1177-01-01	1181-12-31	Alexander III.	Alexander III.	) kein direkter Empfänger	Privilegsvergabe	–	
41	It.Pont. 1	191	3	*	*493	–	[1177-1181]	1177-01-01	1181-12-31	Alexander III.	Alexander III.	kein direkter Empfänger	Privilegsverkündung, dass er Schulden erhalten hat	–	
42	It.Pont. 1	175	14	*	*494	–	[1168-1181]	1168-01-01	1181-12-31	Alexander III.	Alexander III.	kein direkter Empfänger	Entscheidung, das Vereinbarung/Einigung/Vergleich ungültig ist	–	
43	It.Pont. 1	94	3	*	*495	–	81166-1181]	1181-01-01	1181-12-31	Alexander III.	Alexander III.	kein direkter Empfänger	Urteilsverkündung (zwischen Kanonikern des Petersdoms (Vatikanskirche) und Klerikern der Kirche San Lorenzo in Damaso)	–	
44	It.Pont. 1	143	41	*	*495	–	[1166-1181]	1166-01-01	1181-12-31	Alexander III.	Alexander III.	Kanoniker des Petersdom im Vatikan		–	
45	It.Pont. 1	29	25		496	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Prior Johannes etc.		13977	
46	It.Pont. 1	29	26	*+	†*497	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Einräumung von Ablässen der Lateranskirche und einzelner Personen	–	
47	It.Pont. 1	32	3	*+	†*498	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Privilegsvergabe	–	
48	It.Pont. 1	44	2	*+	†*499	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Bestätigung der von Gelasius ( Nr.1) gewährten Ablässe	–	
49	It.Pont. 1	52	12	*	*500	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Bestätigung des durch Celestin II. durchgeführten Wiederaufbau (Nr. 4,5,8,10)	–	
50	It.Pont. 1	52	13	*	*501	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Bestätigung der Widerlegung	–	
51	It.Pont. 1	109	2	*	*502	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Gewährung von Schutzprivilegium	–	
52	It.Pont. 1	112	2		503	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Bestätigung der gewährten Indulgenzen seiner Vorgänger	–	
53	It.Pont. 1	126	12	*	*504	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Bestätigung der Meinung Bischofs Bernard von Porto – S. Rufina	–	
54	It.Pont. 1	127	1	*+	†*505	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	(kein direkter Empfänger)	Gewährung eines Freiheitsprivilegs	–	
55	It.Pont. 1	188	11	*	*506	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Oddone von Colonna, Kastellan R. de Pluminaria, Gefährten aus der Burg von Porciano (Toskana)		–	
56	It.Pont. 1	193	15		*507	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Alexander III.	Männer aus dem Adelsgeschlecht Frangipani, C. Und L.		–	
57	It.Pont. 1	51	7		*387	Segni	01 Oktober 1151	1151-10-01	1151-10-01	Eugen III.	Eugen III.	in Anwesenheit von Kardinalpriester Aribert von Sant`Anastasia, Kardinalpriester Julius von San Marcello, Kardinalpriester Bernard (Kanoniker von San Frediano di Lucca) von San Clemente, Kardinalpriester Roland von San Marco und Kardinaldiakon Gregor von St. Angelo und Johannes von San Maria Nova, Gudio San Maria in Portico und Johannes von San Sergio e Bacco (Vereinbarung) )		–	
58	It.Pont. 1	28	19		401	Laterano	30 Dezember 1153	1153-12-30	1153-12-30	Anastasius IV.	Anastasius IV.	Prior Johannes etc.	Rolandus, S.R.E. Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9793	
59	It.Pont. 1	28	20		403	Laterano	19 Mai 1154	1154-05-19	1154-05-19	Anastasius IV.	Anastasius IV.	Prior Johannes etc.	Rolandus, S.R.E. Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9906	
60	It.Pont. 1	77	21		404	Laterano	31 Mai 1154	1154-05-31	1154-05-31	Anastasius IV.	Anastasius IV.	Kardinalpriester Julius etc.	Rolandus, S.R.E. Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	–	
61	It.Pont. 1	28	22	+	†418	Laterano	18 April 1155	1155-04-18	1155-04-18	Hadrian IV.	Hadrian IV.	Prior Johannes etc.	Rolandus, S.R.E. Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	10032	
62	It.Pont. 1	77	22		421	Viterbo	21 August 1155	1155-08-21	1155-08-21	Hadrian IV.	Hadrian IV.	Kardinalpriester Julius etc.	Rolandus, S.R.E. Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	–	
63	It.Pont. 1	131	10		426	Laterano	28 Juni 1157	1157-06-28	1157-06-28	Hadrian IV.	Hadrian IV.	Abt Johannes etc.	Rolandus, S.R.E. Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	10299	
64	It.Pont. 1	142	34		413	Rom S. Pietro	20 Januar 1155	1155-01-20	1155-01-20	Hadrian IV.	Hadrian IV.	Kardinalpriester Bernard (Kanoniker von San Frediano di Lucca) von San Clemente und Erzpriester der Kirche St. b. Petrus und die übrigen Kanoniker dieser Kirche etc.	Rolandus, S.R.E. Kardinalpriester (von San Marco) und Kanzler (der Röm. Kirche) wird als Subskribent aufgeführt	9984	
65	It.Pont. 1	142	35		428	Laterano	10 Februar 1158	1158-02-10	1158-02-10	Hadrian IV.	Hadrian IV.	Kardinalpriester Bernard (Kanoniker von San Frediano di Lucca) von San Clemente und Erzpriester der Kanonikerbasilika (bas.), die Kanoniker dieser Kirche und Leiter von vier Klöstern etc.		10387	
66	It.Pont. 1	142	36	*	*429	–	[1158]	1158-01-01	1158-12-31	Hadrian IV.	Hadrian IV.	Kardinalpriester Roland von San Marco und Kanzler, Alberto (Kardinalpriester, Di Mora Can. Reg.) San. Lorenzo in Lucina, Priester Willielmo San Petro ad Vincula und Kardinaldiakon Raimund von Santa Maria in Via lata		–	
67	It.Pont. 1	181	11	*	*450	–	[1165]	1165-01-01	1165-12-31	Alexander III.	Römisches Volk	Alexander III. (Treueschwur)		–	
68	It.Pont. 1	181	14	*	*459	–	[1172]	1172-01-01	1172-12-31	Alexander III.	(kein direkter Aussteller/Empfänger)	(kein direkter Aussteller/Empfänger)	zwischen Alexander III. Und dem römischen Volk (Vereinbarung)	–	
69	It.Pont. 1	188	9		*460	–	06 Januar 1174	1174-01-06	1174-01-06	Alexander III.	kein direkter Aussteller	Raino von Tusculano, Sohn von Tholomaeus		–	
70	It.Pont. 1	199	14		*487	–	26 Juli 1179	1179-07-26	1179-07-26	Alexander III.	Romanus Johannis de Anastasio, Kaufmann Iaquintus de Rustico, Petrus Obicionis	Alexander III.		–	
71	It.Pont. 1	37	5		*449	–	30 April 1165	1165-04-30	1165-04-30	Alexander III.	In Anwesenheit des Kardinalpriesters Johannes von St. Johannes und Paulus und des Stellvertreters Alexanders III.	Abt Johannes des Klosters des heiligen Bonifatius und Alexus		–	
72	It.Pont. 1	116	5		*449	–	30 April 1165	1165-04-30	1165-04-30	Alexander III.	In Anwesenheit des Kardinalpriesters Johannes von St. Johannes und Paulus und des Stellvertreters Alexander III.	Abt Johannes		–	
73	It.Pont. 1	199	13		*486	–	26 Juli 1179	1179-07-26	1179-07-26	Alexander III.	Petrus de Cencio Petri de Nicolao	Alexander III.		–	
74	It.Pont. 1	193	13		*484	–	19 Juni 1179	1179-06-19	1179-06-19	Alexander III.	Cencius Frangipani	Bischof Theodinus (II. von Arrone) von Porto (stellvertretend im Namen für Alexander III.)		–	
75	It.Pont. 1	196	2		*464	–	26 November 1175	1175-11-26	1175-11-26	Alexander III.	Romanus Malabranca	Alexander III.	Bericht über 630 Silbergulden Provenien.	–	
76	It.Pont. 1	192	5		*448	–	04 Mai 1162	1162-05-04	1162-05-04	Alexander III.	Otto (der „Ältere“) Adelsgeschlecht der Frangipani (römischer Konsul für sich und seinen Bruder Cencius) (mit Zustimmung Alexander III.)	(kein direkter Empfänger)	Schenkung des Ortes der Kirche St. Maria Nova an Prior Ugonus	–	
77	It.Pont. 1	192	7		*455	–	26 März 1168?	1168-03-26	1168-03-26	Alexander III.	(römischer Konsul) Otto (der Ältere) aus dem Adelsgeschlecht der Frangipani	Bischof Gualterus von Albano (Diözese), Prokurator Alexanders III.	(römischer Konsul) Otto (der Ältere) aus dem Adelsgeschlecht der Frangipani bürgt für den Bischof Gualterus von Albano (Diözese), Prokurator Alexanders III.	–	
78	It.Pont. 1	187	8		*456	–	08 August 1170	1170-08-08	1170-08-08	Alexander III.	Rayno, Sohn einst von Tholomaeus von Tusculano	Alexander III.	(Viele verschiedene Personen anwesend)	II p. 238	
79	It.Pont. 1	163	5	*	*462	–	[1174-1175]	1174-01-01	1175-12-31	Alexander III.	Alexander III.	Prior der Lateransbasilika (oder St. Quiricus), Erzpriester von Sankt Maria Maioris und I. Priester und Subdiakon Hubertus		–	
80	It.Pont. 1	199	12		*467	–	29 Mai 1176	1176-05-29	1176-05-29	Alexander III.	Johannes Guidonis de Leculo	Kardinalpriester Petrus de Bono von St. Susanna und Kardinaldiakon Rainerus St. Giorgio ad velum aureum, Prokuratoren Alexanders III.		–	
81	It.Pont. 1	181	15	*	*474	–	[1178 in.]	1178-01-01	1178-12-31	Alexander III.	(kein direkter Adressat/Empfänger)	(kein direkter Adressat/Empfänger)	zwischen den Legaten Alexanders III. (Bischof Hubaldus Ostien. und Johannes des heiligen Johannes und heiligen Pauls und Kardinaldiakon Hugo von St. Angelo) und dem römischen Volk (kein direkter Adressat/Empfänger)	–	
82	It.Pont. 1	193	12		*477	–	12 Juni 1178	1178-06-12	1178-06-12	Alexander III.	Ehefrau Eudokia von Otto Frangipani (Beschützerin ihres Sohnes Manuel)	Alexander III.	(Meldung)	–	
83	It.Pont. 1	193	14		*485	–	22 Juni 1179	1179-06-22	1179-06-22	Alexander III.	Cencius Frangipani	Alexander III.	(Versprechen)	–	
84	It.Pont. 1	86	3	*	*491	–	[1179-1181]	1179-01-01	1181-12-31	Alexander III.	in Anwesenheit Alexanders III.	(kein direkter Empfänger)	Bekanntmachung der Meinung der Kardinäle über das Mandat Alexander III. (Nr.*2, S. 85)	–	
85	It.Pont. 1	175	13	*	*491	–	[1179-1181]	1179-01-01	1181-12-31	Alexander III.	In Anwesenheit Alexanders III.	(kein direkter Empfänger)	Bekanntmachung der Meinung seiner Brüder über Mandat Alexander III. (Nr.12)	–	
86	It.Pont. 1	194	16	*	*508	–	[1159-1181]	1159-01-01	1181-12-31	Alexander III.	Einwohner von Terracina in Gegenwart von Alexander III.	(kein direkter Empfänger)	bringen Klagen gegen das Adelsgeschlecht Frangipani hervor)	–	
87	It.Pont. 1	152	1			–	30 Januar 1141	1141-01-30	1141-01-30	Viktor IV.	Innozenz II.	(kein direkter Empfänger)	Kirchweihe (In Anwesenheit der Kardinäle Kanzler Aimericus (S.R.E.), Gerardus Kardinalpriester von Sancta Crucis (In Ierusalem), Gregor Santa Maria (Transtiverim), Oktavian San Nicola (in Cacere), Rainero von Santa Prisca, (Kardinaldiakon) Odone (Fattiboni)San Giorgio in Velabro ( St. Georg ad Velum aureum)	–	
88	It.Pont. 1	175	14	*		–	[1168-1181]	1168-01-01	1181-12-31	Paschalis III.	Alexander III.	(kein direkter Empfänger)	Ungültigkeitserklärung einer Anordnung (Guido von Crema hatte Anordnung erklärt, als scripta damnatae memoriae bezeichnet)	–	
89	It.Pont. 2	95	44		*483	–	[1159]	1159-01-01	1159-12-31	Alexander III.	Alexander III	Simon, Abt des Klosters St. Benedikt in Subiaco		–	
90	It.Pont. 2	159	20		484	–	[1159-60]	1159-01-01	1160-12-31	Alexander III.	Alexander III	Bischof von Veroli		10608	
91	It.Pont. 2	95	45		*485	–	[1159-60]	1159-01-01	1160-12-31	Alexander III.	Alexander III.	Bernardus, Bischof von Porto, Johannes, Bischof von Segni und Nauclerius, Bischof von Anagni		–	
92	It.Pont. 2	145	2		*485	–	[1159-60]	1159-01-01	1160-12-31	Alexander III.	Alexander III.	Bernardus, Bischof von Porto, Johannes, Bischof von Segni und Nauclerius, Bischof von Anagni		–	
93	It.Pont. 2	95	46		*486	–	[1159-60]	1159-01-01	1160-12-31	Alexander III.	in praesentia Alexandri III. Ubaldo Allucingoli (später Lucius III.), Bischof von Ostia, Alberto, Kardinalpriester von San Lorenzo in Lucina sowie Giacinto Bobone (Hyacinthus) (später Celestin III.), Kardinaldiakon von Santa Maria in Cosmedin	Empfänger nicht klar ersichtlich		–	
94	It.Pont. 2	145	3		*486	–	[1159-60]	1159-01-01	1160-12-31	Alexander III.	in praesentia Alexandri III. Ubaldo Allucingoli (später Lucius III.), Bischof von Ostia, Alberto, Kardinalpriester von San Lorenzo in Lucina sowie Giacinto Bobone (Hyacinthus) (später Coelestin III.), Kardinaldiakon von Santa Maria in Cosmedin	Empfänger nicht klar ersichtlich		–	
95	It.Pont. 2	150	1		487	–	07.[1160?]	1160-01-07	1160-12-07	Alexander III.	Alexander III.	Gregorius zusammen mit seinen Söhnen sowie Bertrannus und dessen Vater	concessio	–	
96	It.Pont. 2	138	14		*488	–	[1159-61]	1159-01-01	1161-12-31	Alexander III.	Alexander III.	Nuclerius/Nauclerio, Bischof von Anagni		–	
97	It.Pont. 2	159	21		489	–	[1160-61]	1160-01-01	1161-12-31	Alexander III.	Alexander III.	Bischof von Veroli		10641	
98	It.Pont. 2	138	15		490	Terracina	24 September 1161	1161-09-24	1161-09-24	Alexander III.	Alexander III.	Nuclerius/Nauclerio, Bischof von Anagni		10678	
99	It.Pont. 2	95	47		*491	–	[25 Oktober 1161]	1161-10-25	1161-10-25	Alexander III.	?	Empfänger nicht klar ersichtlich	conventio de mandato Alexandri III)	–	
100	It.Pont. 2	145	4		*491	–	[25 Oktober 1161]	1161-10-25	1161-10-25	Alexander III.	?	Empfänger nicht klar ersichtlich	conventio de mandato Alexandri III)	–	
101	It.Pont. 2	159	22		*492	–	[1162-65]	1162-01-01	1165-12-31	Alexander III.	Julius (Giulio I.), Bischof von Palestrina und Vikar Alexanders III.	Petrus, Richter		–	Apostolischer Legat
102	It.Pont. 2	31	3		493	Benevento	28 April [1168-69]	1168-04-28	1169-04-28	Alexander III.	Alexander III.	Walter II., Bischof von Albano, und dessen Vikar (al. Bituricen. archiep.)		11527	
103	It.Pont. 2	159	23		494	Benevento	12 Dezember [1167-69]	1167-12-12	1169-12-12	Alexander III.	Alexander III.	F(aramundus/Framondo), Bischof von Veroli, sowie die Konsuln und der gesamte Klerus und Volk von Veroli		11470	
104	It.Pont. 2	163	2		494	Benevento	12 Dezember [1167-69]	1167-12-12	1169-12-12	Alexander III.	Alexander III.	F(aramundus/Framondo), Bischof von Veroli, sowie die Konsuln und der gesamte Klerus und Volk von Veroli		11470	
105	It.Pont. 2	104	3		495	Benevento	22[?] Dezember [1167-69]	1167-12-22	1169-12-22	Alexander III.	Alexander III.	Richter von Velletri		11480	
106	It.Pont. 2	105	4		495	Benevento	22[?] Dezember [1167-69]	1167-12-22	1169-12-22	Alexander III.	Alexander III.	Richter von Velletri		11480	
107	It.Pont. 2	169	9		496	Veroli	09 Mai 1170	1170-05-09	1170-05-09	Alexander III.	Alexander III.	Gregorius, Abt des Klosters St. Johannes und Paul in Casamari		11789	
108	It.Pont. 2	39	4		497	–	[08 August 1170]	1170-08-08	1170-08-08	Alexander III.	Rayno, Sohn des Tholomäus von Tusculum	Alexander III.		II p. 238	
109	It.Pont. 2	162	1		*498	–	[03-09.1170]	1170-01-03	1170-12-09	Alexander III.	Alexander III.	Empfänger nicht klar ersichtlich	Weihe der Kirche St. Maria Magdalena	–	
110	It.Pont. 2	39	5		*499	–	[Okt. 1170]	1170-10-01	1170-10-31	Alexander III.	Alexander III.	Römische Volk (populus Romanus)		–	
111	It.Pont. 2	126	4		500	Tusculanum	27 Februar 1171	1171-02-27	1171-02-27	Alexander III.	Alexander III.	Giraldus, Abt des Klosters St. Stephan in Fossa nova		–	
112	It.Pont. 2	224	3		501	Tusculanum	24 Dezember 1171	1171-12-24	1171-12-24	Alexander III.	Alexander III.	Roccus, Prior der Kirche St. Constantius		–	
113	It.Pont. 2	34	3		502	Tusculano	18 August [1171-72]	1171-08-18	1172-08-18	Alexander III.	Alexander III.	Malebranchus, Römischer Bürger		–	
114	It.Pont. 2	103	5		503	–	[1171-72?]	1171-01-01	1171-12-31	Alexander III.	Alexander III.	Ubaldo Allucingoli (später Papst Lucius III.), Bischof von Ostia und Velletri, sowie dem Erzpriester und den Kanonikern		12129	
115	It.Pont. 2	104	4		503	–	[1171-72?]	1171-01-01	1171-12-31	Alexander III.	Alexander III., Ubaldo Allucingoli, Bischof von Ostia und Velletri, sowie Erzpriester und Kanoniker	–		12129	
116	It.Pont. 2	39	6		*504	–	[1172]	1172-01-01	1172-12-31	Alexander III.	?: ?	Empfänger nicht klar ersichtlich	Übereinkunft zwischen Alexander und römischem Volk	–	
117	It.Pont. 2	116	16		*505	–	[1159-73]	1159-01-01	1173-12-31	Alexander III.	Alexander III.	B(ernardus), Bischof von Porto, sowie P(etrus [Pietro de Mizo]), Kardinalpriester von San Lorenzo in Damaso		–	
118	It.Pont. 2	121	1		*505	–	[1159-73]	1159-01-01	1173-12-31	Alexander III.	Alexander III.	B(ernardus), Bischof von Porto, sowie P(etrus [Pietro de Mizo]), Kardinalpriester von San Lorenzo in Damaso	unter Petrus de Roberto gelistet	–	
119	It.Pont. 2	150	1		*506	–	[1159-73]	1159-01-01	1173-12-31	Alexander III.	Alexander III.	Empfänger nicht klar ersichtlich	Concessio	–	
120	It.Pont. 2	165	3		*507	–	[1159-73]	1159-01-01	1173-12-31	Alexander III.	Alexander III.	Egidius, Paganus und Roffredus, Bürger aus Frosinone		–	
121	It.Pont. 2	174	4		*508	Segni	08 Februar 1173	1173-02-08	1173-02-08	Alexander III.	Alexander III.	Templern	Für Jakob vlt von Interesse	–	
122	It.Pont. 2	150	2		*509	–	[07 August 1173]	1173-08-07	1173-08-07	Alexander III.	Alexander III.	Empfänger nicht klar ersichtlich	Entscheidung in einem Streitfall	12233a	
123	It.Pont. 2	165	4		*509	–	[07 August 1173]	1173-08-07	1173-08-07	Alexander III.	Alexander III.	Empfänger nicht klar ersichtlich	Entscheidung in einem Streitfall	12233a	
124	It.Pont. 2	150	3		*510	–	[1173-74]	1173-01-01	1174-12-31	Alexander III.	Alexander III.	Empfänger nicht klar ersichtlich	adiudicatio	–	
125	It.Pont. 2	165	5		*510	–	[1173-74]	1173-01-01	1174-12-31	Alexander III.	Alexander III.	Empfänger nicht klar ersichtlich		–	
126	It.Pont. 2	139	2		511	Anagni	07 Januar 1174	1174-01-07	1174-01-07	Alexander III.	Alexander III.	Empfänger nicht klar ersichtlich	Entscheidung eines Streitfalls	12326	
127	It.Pont. 2	141	4		511	Anagni	07 Januar 1174	1174-01-07	1174-01-07	Alexander III.	Alexander III	Amatus, Abt des Klosters St. Petrus de Villa magna, sowie dessen Mitbrüder	Entscheidung eines Streitfalls	12326	
128	It.Pont. 2	193	3		512	Anagni	07 März 1174	1174-03-07	1174-03-07	Alexander III.	Alexander III.	Prior der Kirche St. Maria Maior		–	
